director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,movie_site
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,6.1,https://www.imdb.com/title/tt1137450/
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Drama Mystery,the vanishing of sidney hall,6.7,https://www.imdb.com/title/tt1291566/
Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Comedy Drama War,foxtrot,6.3,https://www.imdb.com/title/tt6896536/
Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Action Crime Thriller Drama Mystery,pickings,5.8,https://www.imdb.com/title/tt4789822/
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,5.1,https://www.imdb.com/title/tt1620680/
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action,gringo,5.9,https://www.imdb.com/title/tt3721964/
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,6.4,https://www.imdb.com/title/tt5649108/
Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin,7,https://www.imdb.com/title/tt4686844/
Paolo Virzýýýýýýýý,Donald Sutherland,Helen Mirren,unknown,Drama Romance Adventure,the leisure seeker,7.1,https://www.imdb.com/title/tt3741632/
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night,5.5,https://www.imdb.com/title/tt1285009/
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist,5.7,https://www.imdb.com/title/tt5360952/
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,6.3,https://www.imdb.com/title/tt1365519/
Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",8.2,https://www.imdb.com/title/tt5164432/
Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,7.4,https://www.imdb.com/title/tt6450186/
Josýýýýýýýý Padilha,Rosamund Pike,Daniel Brýýýýýýýýhl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,5.8,https://www.imdb.com/title/tt5466186/
Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,6,https://www.imdb.com/title/tt5291792/
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Comedy Music,josie,5.5,https://www.imdb.com/title/tt4682780/
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Drama Comedy,flower,6.6,https://www.imdb.com/title/tt2582784/
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,6.1,https://www.imdb.com/title/tt2557478/
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,7.9,https://www.imdb.com/title/tt5104604/
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,5.6,https://www.imdb.com/title/tt2296777/
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,6.2,https://www.imdb.com/title/tt7153766/
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,History Drama,"paul, apostle of christ",6.9,https://www.imdb.com/title/tt7388562/
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clýýýýýýýýmence Poýýýýýýýýsy,Drama History,final portrait,6.1,https://www.imdb.com/title/tt4494718/
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,7.8,https://www.imdb.com/title/tt4799066/
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,5.3,https://www.imdb.com/title/tt10049610/
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Adventure Science Fiction,ready player one,7.6,https://www.imdb.com/title/tt1677720/
Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,6.6,https://www.imdb.com/title/tt6063050/
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,6.9,https://www.imdb.com/title/tt6652708/
Aaron Katz,Lola Kirke,Zoýýýýýýýý Kravitz,Greta Lee,Action Drama Science Fiction Thriller,gemini,6.4,https://www.imdb.com/title/tt0094964/
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,6.2,https://www.imdb.com/title/tt5836316/
John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,7.3,https://www.imdb.com/title/tt6644200/
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,6.3,https://www.imdb.com/title/tt2531344/
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama,you were never really here,6.6,https://www.imdb.com/title/tt5742374/
John Curran,Jason Clarke,Kate Mara,Ed Helms,Drama Thriller History,chappaquiddick,6,https://www.imdb.com/title/tt5270948/
"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas,8,https://www.imdb.com/title/tt7860270/
Andrew Haigh,Charlie Plummer,Chloýýýýýýýý Sevigny,Travis Fimmel,Drama Adventure,lean on pete,6.8,https://www.imdb.com/title/tt5340300/
Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,7.2,https://www.imdb.com/title/tt5427194/
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,6.2,https://www.imdb.com/title/tt4669264/
Brad Peyton,Dwayne Johnson,Naomie Harris,Malin ýýýýýýýýkerman,Action Adventure Science Fiction,rampage,6.4,https://www.imdb.com/title/tt2231461/
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,6,https://www.imdb.com/title/tt1333125/
Chloýýýýýýýý Zhao,Brady Jandreau,unknown,unknown,Drama Western,the rider,7.4,https://www.imdb.com/title/tt6217608/
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gýýýýýýýýrard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,7.1,https://www.imdb.com/title/tt5314190/
"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,6.4,https://www.imdb.com/title/tt6791096/
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,5.8,https://www.imdb.com/title/tt0859635/
Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Thriller Horror,traffik,6.3,https://www.imdb.com/title/tt0181865/
Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama,the house of tomorrow,6.4,https://www.imdb.com/title/tt5910344/
Naoko Yamada,Atsumi Tanezaki,Nao Týýýýýýýýyama,unknown,Animation Drama Music,liz and the blue bird,7.2,https://www.imdb.com/title/tt7089878/
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,8.3,https://www.imdb.com/title/tt4154756/
Sebastiýýýýýýýýn Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,6.9,https://www.imdb.com/title/tt6108178/
Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners,6.2,https://www.imdb.com/title/tt5153288/
Deniz Gamze Ergýýýýýýýýven,Halle Berry,Daniel Craig,unknown,Drama,kings,7.9,https://www.imdb.com/title/tt5843850/
"Rob Greenberg, Bob Fisher ",Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard,6.6,https://www.imdb.com/title/tt0093693/
Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Drama,tully,6.8,https://www.imdb.com/title/tt5610554/
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan,6.6,https://www.imdb.com/title/tt3203528/
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy,the cleanse,5.4,https://www.imdb.com/title/tt3734354/
Xavier Beauvois,Nathalie Baye,unknown,unknown,Animation Family Fantasy Action Adventure,the guardians,7.3,https://www.imdb.com/title/tt4600952/
Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party,6.2,https://www.imdb.com/title/tt5619332/
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action Horror,breaking in,5.9,https://www.imdb.com/title/tt7137846/
Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull,5.7,https://www.imdb.com/title/tt4682136/
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Crime Drama Thriller,terminal,7.3,https://www.imdb.com/title/tt0362227/
Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Action Thriller Horror,revenge,6.3,https://www.imdb.com/title/tt1837642/
David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2,7.5,https://www.imdb.com/title/tt5463162/
Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Comedy Romance Drama,book club,6.1,https://www.imdb.com/title/tt6857166/
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed,7,https://www.imdb.com/title/tt6053438/
Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word,7.3,https://www.imdb.com/title/tt6915100/
Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs,5.8,https://www.imdb.com/title/tt5691024/
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Adventure Science Fiction,solo: a star wars story,6.6,https://www.imdb.com/title/tt3778644/
John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties,6.2,https://www.imdb.com/title/tt3859310/
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Thriller Mystery,in darkness,6,https://www.imdb.com/title/tt5164184/
Bruce LaBruce,Susanne Sachýýýýýýýýe,Viva Ruiz,Kembra Pfahler,Drama,the misandrists,3.6,https://www.imdb.com/title/tt5518756/
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,4.2,https://www.imdb.com/title/tt5737536/
Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy Drama,action point,5.4,https://www.imdb.com/title/tt6495770/
Baltasar Kormýýýýýýýýkur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift,6.8,https://www.imdb.com/title/tt6306064/
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,7.5,https://www.imdb.com/title/tt6499752/
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,6.9,https://www.imdb.com/title/tt6212478/
Theresa Bennett,Noýýýýýýýýl Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,6.5,https://www.imdb.com/title/tt5639898/
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action Thriller,ocean's 8,7,https://www.imdb.com/title/tt5164214/
Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?,8.2,https://www.imdb.com/title/tt7681902/
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,7.2,https://www.imdb.com/title/tt7784604/
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis,6,https://www.imdb.com/title/tt5834262/
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,6.8,https://www.imdb.com/title/tt7690670/
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,7.5,https://www.imdb.com/title/tt3606756/
Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Drama,tag,6.7,https://www.imdb.com/title/tt2854926/
Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach,6.2,https://www.imdb.com/title/tt1667321/
Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti,5.2,https://www.imdb.com/title/tt1801552/
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom,6.6,https://www.imdb.com/title/tt4881806/
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,5.6,https://www.imdb.com/title/tt5686062/
"David Zellner, Nathan Zellner",Robert Pattinson,Mia Wasikowska,unknown,Comedy Western,damsel,5.1,https://www.imdb.com/title/tt5881528/
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics,6.1,https://www.imdb.com/title/tt5591666/
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado,6.8,https://www.imdb.com/title/tt5052474/
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,6.8,https://www.imdb.com/title/tt3892172/
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,6.7,https://www.imdb.com/title/tt7334528/
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,6.8,https://www.imdb.com/title/tt5436228/
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Science Fiction Thriller Horror,the first purge,5.9,https://www.imdb.com/title/tt6133466/
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peýýýýýýýýa,Action Adventure Science Fiction Comedy,ant-man and the wasp,7,https://www.imdb.com/title/tt5095030/
Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,6.9,https://www.imdb.com/title/tt5688932/
Kevin MacDonald,Whitney Houston,unknown,unknown,Documentary,whitney,7.6,https://www.imdb.com/title/tt1850458/
Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation,6.9,https://www.imdb.com/title/tt5220122/
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action,skyscraper,6.3,https://www.imdb.com/title/tt5758778/
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,7.3,https://www.imdb.com/title/tt7014006/
Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot",6.7,https://www.imdb.com/title/tt6288124/
Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Drama History Thriller,shock and awe,6.6,https://www.imdb.com/title/tt5540992/
Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Comedy Romance,mamma mia! here we go again,7.2,https://www.imdb.com/title/tt6911608/
Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Thriller Action Crime,the equalizer 2,6.5,https://www.imdb.com/title/tt3766354/
Carlos Lýýýýýýýýpez Estrada,Janina Gavankar,Ethan Embry,Daveed Diggs,Comedy Drama,blindspotting,7.5,https://www.imdb.com/title/tt7242142/
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Mystery Thriller,unfriended: dark web,6.3,https://www.imdb.com/title/tt4761916/
Shinsuke Sato,Shinsuke Sato (director); Sota Fukushi,Hana Sugisaki,unknown,Action Fantasy Adventure,bleach,6.7,https://www.imdb.com/title/tt0434665/
ýýýýýýýýdouard Deluc,Vincent Cassel,Tuheýýýýýýýý Adams,Malik Zidi,Drama Romance,gauguin ýýýýýýýýýýýý voyage de tahiti,5.7,https://www.imdb.com/title/tt6330052/
Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible ýýýýýýýýýýýý fallout,7.4,https://www.imdb.com/title/tt4912910/
Peter Rida Michail,Scott Menville,Khary Payton,Tara Strong,Animation Action Comedy Science Fiction,teen titans go! to the movies,7.4,https://www.imdb.com/title/tt7424200/
Tsui Hark,Tsui Hark (director),Chang Chia-lu,Chen Kuo-Fu (screenplay),Mystery Fantasy Adventure Action,detective dee: the four heavenly kings,6.4,https://www.imdb.com/title/tt6869538/
Elijah Bynum,Timothýýýýýýýýe Chalamet,Maika Monroe,Alex Roe,Drama Comedy,hot summer nights,6.8,https://www.imdb.com/title/tt3416536/
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle,6.7,https://www.imdb.com/title/tt2343793/
Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,7.4,https://www.imdb.com/title/tt4575576/
Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,the darkest minds,7,https://www.imdb.com/title/tt4073790/
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Action Comedy,the spy who dumped me,6.4,https://www.imdb.com/title/tt6663582/
Desiree Akhavan,Chloýýýýýýýý Grace Moretz,Sasha Lane,John Gallagher,Drama,the miseducation of cameron post,6.9,https://www.imdb.com/title/tt6257174/
Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Comedy,never goin' back,6.1,https://www.imdb.com/title/tt7690016/
Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Comedy Romance Drama,dog days,6.7,https://www.imdb.com/title/tt7365604/
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,6.1,https://www.imdb.com/title/tt4779682/
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Drama History Comedy,blackkklansman,7.6,https://www.imdb.com/title/tt7349662/
Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Mystery Thriller Horror,slender man,4.3,https://www.imdb.com/title/tt5690360/
Jean-Stýýýýýýýýphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,6.8,https://www.imdb.com/title/tt4080956/
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Drama Romance,crazy rich asians,7.1,https://www.imdb.com/title/tt3104988/
Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultýýýýýýýýn,Adventure Drama,alpha,6.3,https://www.imdb.com/title/tt4244998/
Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Action Thriller,mile 22,6.1,https://www.imdb.com/title/tt4560436/
Bjýýýýýýýýrn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,7.1,https://www.imdb.com/title/tt3750872/
James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Drama Thriller,billionaire boys club,5.6,https://www.imdb.com/title/tt5179598/
Jesse Peretz,Ethan Hawke,Rose Byrne,unknown,Comedy Drama Romance,"juliet, naked",6.4,https://www.imdb.com/title/tt5607096/
Rodrigo Cortýýýýýýýýs,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall,5.5,https://www.imdb.com/title/tt2372251/
Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders,5.7,https://www.imdb.com/title/tt1308728/
Aneesh Chaganty,John Cho,Debra Messing,unknown,Thriller Mystery Drama,searching,7.6,https://www.imdb.com/title/tt7668870/
Michael Noer,Charlie Hunnam,Rami Malek,unknown,Drama History Crime,papillon,7.4,https://www.imdb.com/title/tt5093026/
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,6.2,https://www.imdb.com/title/tt5709188/
Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale,6.7,https://www.imdb.com/title/tt5208252/
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoýýýýýýýý Kravitz,Science Fiction Action,kin,6.1,https://www.imdb.com/title/tt6017942/
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger,5.7,https://www.imdb.com/title/tt6859762/
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,5.7,https://www.imdb.com/title/tt6987770/
Corin Hardy,Demiýýýýýýýýn Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun,5.8,https://www.imdb.com/title/tt5814060/
Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Action Thriller,peppermint,6.6,https://www.imdb.com/title/tt6850820/
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Thriller Adventure Horror Comedy,the predator,5.5,https://www.imdb.com/title/tt3829266/
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,6.3,https://www.imdb.com/title/tt4537896/
